v1,v2,v3
187,165,166
187,186,165
188,187,167
167,187,166
187,207,186
187,208,207
209,187,188
208,187,209
214,193,215
193,194,215
213,193,214
193,213,192
193,173,194
193,172,173
171,193,192
172,193,171
94,116,115
116,94,95
96,116,95
117,116,96
138,160,159
160,138,139
139,138,118
138,117,118
347,346,326
326,346,325
324,346,345
346,324,325
368,346,347
367,346,368
345,346,366
346,367,366
137,136,115
116,137,115
137,157,136
157,137,158
137,116,117
138,137,117
137,159,158
137,138,159
